"region";"hustyp";"2015"
"1446 Karlsborg";"specialbostäder";112
"1447 Gullspång";"småhus";1994
"1447 Gullspång";"flerbostadshus";598
"1447 Gullspång";"övriga hus";35
"1447 Gullspång";"specialbostäder";136
"1452 Tranemo";"småhus";4046
"1452 Tranemo";"flerbostadshus";986
"1452 Tranemo";"övriga hus";71
"1452 Tranemo";"specialbostäder";227
"1460 Bengtsfors";"småhus";3365
"1460 Bengtsfors";"flerbostadshus";1506
"1460 Bengtsfors";"övriga hus";89
"1460 Bengtsfors";"specialbostäder";183
"1461 Mellerud";"småhus";3310
"1461 Mellerud";"flerbostadshus";1073
"1461 Mellerud";"övriga hus";86
"1461 Mellerud";"specialbostäder";201
"1462 Lilla Edet";"småhus";4291
"1462 Lilla Edet";"flerbostadshus";1429
"1462 Lilla Edet";"övriga hus";179
"1462 Lilla Edet";"specialbostäder";171
"1463 Mark";"småhus";10409
"1463 Mark";"flerbostadshus";4095
"1463 Mark";"övriga hus";322
"1463 Mark";"specialbostäder";519
"1465 Svenljunga";"småhus";3844
"1465 Svenljunga";"flerbostadshus";754
"1465 Svenljunga";"övriga hus";81
"1465 Svenljunga";"specialbostäder";200
"1466 Herrljunga";"småhus";3125
"1466 Herrljunga";"flerbostadshus";912
"1466 Herrljunga";"övriga hus";78
"1466 Herrljunga";"specialbostäder";275
"1470 Vara";"småhus";5455
"1470 Vara";"flerbostadshus";1682
"1470 Vara";"övriga hus";79
"1470 Vara";"specialbostäder";278
"1471 Götene";"småhus";4386
"1471 Götene";"flerbostadshus";1269
"1471 Götene";"övriga hus";85
"1471 Götene";"specialbostäder";229
"1472 Tibro";"småhus";3089
"1472 Tibro";"flerbostadshus";1870
"1472 Tibro";"övriga hus";93
"1472 Tibro";"specialbostäder";154
"1473 Töreboda";"småhus";2973
"1473 Töreboda";"flerbostadshus";1440
"1473 Töreboda";"övriga hus";62
"1473 Töreboda";"specialbostäder";172
"1480 Göteborg";"småhus";52568
"1480 Göteborg";"flerbostadshus";201570
"1480 Göteborg";"övriga hus";3366
"1480 Göteborg";"specialbostäder";16789
"1481 Mölndal";"småhus";12996
"1481 Mölndal";"flerbostadshus";13987
"1481 Mölndal";"övriga hus";212
"1481 Mölndal";"specialbostäder";896
"1482 Kungälv";"småhus";11125
"1482 Kungälv";"flerbostadshus";6654
"1482 Kungälv";"övriga hus";150
"1482 Kungälv";"specialbostäder";541
"1484 Lysekil";"småhus";4141
"1484 Lysekil";"flerbostadshus";3112
"1484 Lysekil";"övriga hus";129
"1484 Lysekil";"specialbostäder";242
"1485 Uddevalla";"småhus";11394
