Anlaggningsnamn;WGS84Ost;WGS84Nord;ParameterKortnamn;Varde_BehArv
Falkîpings avfallsupplag;13,53745839;58,15579217;Hg;0.002000000000000
SjuhÑradsbygdens FÑrgeri AB;12,73204005;57,52681681;Total N;2642.720000000000000
LantmÑnnen KronfÜgel AB;14,15343613;56,01941729;Zn;43.000000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;AOX;16.600000000000000
NolÑngens avfallsanlÑggning;12,20793148;58,96490374;As;0.184000000000000
HôGBYTORPS AVFALLSANLéGGNING;17,62813026;59,5411058;As;0.790000000000000
HôGBYTORPS AVFALLSANLéGGNING;17,62813026;59,5411058;Cd;0.040000000000000
HôGBYTORPS AVFALLSANLéGGNING;17,62813026;59,5411058;COD-cr;338356.000000000000000
SjuhÑradsbygdens FÑrgeri AB;12,73204005;57,52681681;NH4-N;771.890000000000000
SjuhÑradsbygdens FÑrgeri AB;12,73204005;57,52681681;Cu;13.790000000000000
SjuhÑradsbygdens FÑrgeri AB;12,73204005;57,52681681;Cr;6.000000000000000
SjuhÑradsbygdens FÑrgeri AB;12,73204005;57,52681681;TOC;26170.000000000000000
GRèDô MEJERI AB;16,03171608;60,2458037;Total P;2615.000000000000000
SjuhÑradsbygdens FÑrgeri AB;12,73204005;57,52681681;Zn;28.970000000000000
SjuhÑradsbygdens FÑrgeri AB;12,73204005;57,52681681;BOD7;36750.000000000000000
LantmÑnnen KronfÜgel AB;14,15343613;56,01941729;Total N;20066.000000000000000
Polypeptide Laboratories (Swed;12,94310448;55,58866708;BOD7;26200.000000000000000
LantmÑnnen KronfÜgel AB;14,15343613;56,01941729;Total P;642.000000000000000
DuPont Chemoswed;13,03315606;55,59481774;BOD7;342.000000000000000
LantmÑnnen KronfÜgel AB;14,15343613;56,01941729;BOD7;70104.000000000000000
